"speaker_id";"gender";"dialect_variant";"codigo_frase";"audio_file";"_uuid";"meta/rootUuid"
"M2";"Femenino";"Mam Occidental";"M_006";"1778632718836.m4a";"15b052cc-dc9f-4b42-8136-82a8365d6a86";"uuid:15b052cc-dc9f-4b42-8136-82a8365d6a86"
"M2";"Femenino";"Mam Occidental";"M_007";"1778632742535.m4a";"34fc9e7f-37fe-4512-8583-b53e65a52ee2";"uuid:34fc9e7f-37fe-4512-8583-b53e65a52ee2"
"M2";"Femenino";"Mam Occidental";"M_008";"1778632767570.m4a";"c62b1324-2ce5-4ff4-83d3-79b4d00bc019";"uuid:c62b1324-2ce5-4ff4-83d3-79b4d00bc019"
"M2";"Femenino";"Mam Occidental";"M_009";"1778632790593.m4a";"d5b36c16-e310-4c5b-a290-3aee578e0b7b";"uuid:d5b36c16-e310-4c5b-a290-3aee578e0b7b"
"M2";"Femenino";"Mam Occidental";"M_010";"1778632814057.m4a";"07de990d-8568-4005-93cb-7a548bd89c8f";"uuid:07de990d-8568-4005-93cb-7a548bd89c8f"
"M2";"Femenino";"Mam Occidental";"M_011";"1778632836700.m4a";"182d1bbb-dba0-41ee-a71c-db01a6ed6e60";"uuid:182d1bbb-dba0-41ee-a71c-db01a6ed6e60"
"M2";"Femenino";"Mam Occidental";"M_012";"1778632858769.m4a";"8f503e1c-6e50-4476-bc72-e8a238cb981d";"uuid:8f503e1c-6e50-4476-bc72-e8a238cb981d"
"M2";"Femenino";"Mam Occidental";"M_013";"1778632879939.m4a";"9b3e62a0-5498-45e6-8e3e-abeb74e4b8ee";"uuid:9b3e62a0-5498-45e6-8e3e-abeb74e4b8ee"
"M2";"Femenino";"Mam Occidental";"M_014";"1778632901190.m4a";"4cccc3b4-ab4a-4897-bb32-4d88e01243b3";"uuid:4cccc3b4-ab4a-4897-bb32-4d88e01243b3"
"M2";"Femenino";"Mam Occidental";"M_015";"1778632924445.m4a";"ca215eb4-e8a9-4e6c-8aaa-707b6ab56330";"uuid:ca215eb4-e8a9-4e6c-8aaa-707b6ab56330"
"M2";"Femenino";"Mam Occidental";"M_016";"1778632946502.m4a";"ba202b7e-4cc4-4198-9a68-9f0b5c7e8233";"uuid:ba202b7e-4cc4-4198-9a68-9f0b5c7e8233"
"M2";"Femenino";"Mam Occidental";"M_017";"1778632969745.m4a";"12f4c65e-feee-428a-af63-e4e511c3c1f7";"uuid:12f4c65e-feee-428a-af63-e4e511c3c1f7"
"M2";"Femenino";"Mam Occidental";"M_018";"1778632995710.m4a";"bd65403f-1e14-4e3d-8277-c35bce0e6f7e";"uuid:bd65403f-1e14-4e3d-8277-c35bce0e6f7e"
"M2";"Femenino";"Mam Occidental";"M_019";"1778633015210.m4a";"1cde7559-800a-4507-b7d4-fd970caa7440";"uuid:1cde7559-800a-4507-b7d4-fd970caa7440"
"M2";"Femenino";"Mam Occidental";"M_020";"1778633036132.m4a";"a067ee8f-b6dd-4363-9b95-258fa67ac38f";"uuid:a067ee8f-b6dd-4363-9b95-258fa67ac38f"
"M2";"Femenino";"Mam Occidental";"M_021";"1778633055168.m4a";"a4dbb24b-acfd-41c3-a1dc-726f4b8242c1";"uuid:a4dbb24b-acfd-41c3-a1dc-726f4b8242c1"
"M2";"Femenino";"Mam Occidental";"M_022";"1778633075781.m4a";"1b5bb702-906d-4300-b650-99da0d5dcb1c";"uuid:1b5bb702-906d-4300-b650-99da0d5dcb1c"
"M2";"Femenino";"Mam Occidental";"M_023";"1778633101261.m4a";"500bf621-76e7-44c7-ba46-9edce7ec7bb6";"uuid:500bf621-76e7-44c7-ba46-9edce7ec7bb6"
"M2";"Femenino";"Mam Occidental";"M_024";"1778633121478.m4a";"97e7ac8a-8a9b-4111-b6a2-c1e7d708c12f";"uuid:97e7ac8a-8a9b-4111-b6a2-c1e7d708c12f"
"M2";"Femenino";"Mam Occidental";"M_025";"1778633141244.m4a";"c465824e-8935-4a9d-b01e-06f9c0f9121c";"uuid:c465824e-8935-4a9d-b01e-06f9c0f9121c"
"M2";"Femenino";"Mam Occidental";"M_026";"1778633162909.m4a";"316d4325-e31e-465f-a649-685ae24eeb77";"uuid:316d4325-e31e-465f-a649-685ae24eeb77"
"M2";"Femenino";"Mam Occidental";"M_027";"1778633186727.m4a";"5e64ae4c-cea7-4a14-a73d-1cd2c791844a";"uuid:5e64ae4c-cea7-4a14-a73d-1cd2c791844a"
"M2";"Femenino";"Mam Occidental";"M_028";"1778633206072.m4a";"f0ccf599-4b17-4d0f-b11d-5e68f8d9f42a";"uuid:f0ccf599-4b17-4d0f-b11d-5e68f8d9f42a"
"M2";"Femenino";"Mam Occidental";"M_029";"1778633231122.m4a";"a824dc56-74ab-450e-be08-c3d1583e1668";"uuid:a824dc56-74ab-450e-be08-c3d1583e1668"
"M2";"Femenino";"Mam Occidental";"M_030";"1778633253161.m4a";"9e095193-a683-49bf-a52f-19377302a986";"uuid:9e095193-a683-49bf-a52f-19377302a986"
"M2";"Femenino";"Mam Occidental";"M_031";"1778633274403.m4a";"bde843fc-f131-48d8-a827-2428a92c6701";"uuid:bde843fc-f131-48d8-a827-2428a92c6701"
"M2";"Femenino";"Mam Occidental";"M_032";"1778633296594.m4a";"33a74bae-4312-4e19-8b50-82db0a20b297";"uuid:33a74bae-4312-4e19-8b50-82db0a20b297"
"M2";"Femenino";"Mam Occidental";"M_033";"1778633315438.m4a";"cbe08e77-b871-4304-8504-c741ecbeecd0";"uuid:cbe08e77-b871-4304-8504-c741ecbeecd0"
"M2";"Femenino";"Mam Occidental";"M_034";"1778633336306.m4a";"b7cf9127-04c1-493e-ac83-fc5e3a5f7ee0";"uuid:b7cf9127-04c1-493e-ac83-fc5e3a5f7ee0"
"M2";"Femenino";"Mam Occidental";"M_035";"1778633357495.m4a";"f987a6c4-ee86-4c1a-99ac-8f025692cd44";"uuid:f987a6c4-ee86-4c1a-99ac-8f025692cd44"
"M2";"Femenino";"Mam Occidental";"M_036";"1778633378031.m4a";"96bad8a1-c057-4bfc-a2c0-3537e39bdda7";"uuid:96bad8a1-c057-4bfc-a2c0-3537e39bdda7"
"M2";"Femenino";"Mam Occidental";"M_037";"1778633400871.m4a";"f3fa44a3-9724-4deb-b9a3-1278de4a5d85";"uuid:f3fa44a3-9724-4deb-b9a3-1278de4a5d85"
"M2";"Femenino";"Mam Occidental";"M_038";"1778633425046.m4a";"69382d20-7149-4eca-8d52-cbadd81213aa";"uuid:69382d20-7149-4eca-8d52-cbadd81213aa"
"M2";"Femenino";"Mam Occidental";"M_039";"1778633447256.m4a";"d8fca988-250b-4a4d-ba86-75b6d9b04846";"uuid:d8fca988-250b-4a4d-ba86-75b6d9b04846"
"M2";"Femenino";"Mam Occidental";"M_040";"1778633472337.m4a";"aa338306-1f52-4f58-96ce-b5f40ece78ea";"uuid:aa338306-1f52-4f58-96ce-b5f40ece78ea"
"M2";"Femenino";"Mam Occidental";"M_041";"1778633500166.m4a";"3bda2522-0baa-41a5-b9f4-acc0edc1a994";"uuid:3bda2522-0baa-41a5-b9f4-acc0edc1a994"
"M2";"Femenino";"Mam Occidental";"M_042";"1778633523586.m4a";"4d8fb11e-a9ee-4fe2-bc6b-966268d70276";"uuid:4d8fb11e-a9ee-4fe2-bc6b-966268d70276"
"M2";"Femenino";"Mam Occidental";"M_043";"1778633545667.m4a";"c00368b9-3ea7-40c5-ab45-7603c2324fc8";"uuid:c00368b9-3ea7-40c5-ab45-7603c2324fc8"
"M2";"Femenino";"Mam Occidental";"M_044";"1778633569172.m4a";"2d45a59d-20df-4ce3-b5b1-c5e90cee39b5";"uuid:2d45a59d-20df-4ce3-b5b1-c5e90cee39b5"
"M2";"Femenino";"Mam Occidental";"M_045";"1778633591574.m4a";"f54c3ce9-ac0c-410f-839d-e0081c67093b";"uuid:f54c3ce9-ac0c-410f-839d-e0081c67093b"
"M2";"Femenino";"Mam Occidental";"M_046";"1778633613893.m4a";"8225538a-24f3-4add-b783-0e985a7cd810";"uuid:8225538a-24f3-4add-b783-0e985a7cd810"
"M2";"Femenino";"Mam Occidental";"M_047";"1778633636026.m4a";"8f7a57d1-81e6-45b1-b8d1-6df271585d68";"uuid:8f7a57d1-81e6-45b1-b8d1-6df271585d68"
"M2";"Femenino";"Mam Occidental";"M_048";"1778633659881.m4a";"88ad2d7d-fc18-4210-9669-029af21b5339";"uuid:88ad2d7d-fc18-4210-9669-029af21b5339"
"M2";"Femenino";"Mam Occidental";"M_049";"1778633681926.m4a";"23bb0d05-8fb3-4fb5-ae0e-f249ec853fbf";"uuid:23bb0d05-8fb3-4fb5-ae0e-f249ec853fbf"
"M2";"Femenino";"Mam Occidental";"M_050";"1778633703635.m4a";"ed1f5de5-365a-45a7-b4fc-9f81878d5548";"uuid:ed1f5de5-365a-45a7-b4fc-9f81878d5548"
"M3";"Femenino";"Mam Occidental";"M_001";"1778771369944.m4a";"8a48092a-6bda-43fc-9fb0-0a8a40a5b8eb";"uuid:8a48092a-6bda-43fc-9fb0-0a8a40a5b8eb"
"M3";"Femenino";"Mam Occidental";"M_002";"1778771395882.m4a";"27e69cad-3a95-4288-aa7f-0ab79db2ddff";"uuid:27e69cad-3a95-4288-aa7f-0ab79db2ddff"
"M3";"Femenino";"Mam Occidental";"M_003";"1778771421961.m4a";"4b0e6569-b475-48fb-919d-106008b1c223";"uuid:4b0e6569-b475-48fb-919d-106008b1c223"
"M3";"Femenino";"Mam Occidental";"M_004";"1778771458280.m4a";"cc3a3676-89d4-48c9-bb7e-df0ef6124ac8";"uuid:cc3a3676-89d4-48c9-bb7e-df0ef6124ac8"
"M3";"Femenino";"Mam Occidental";"M_005";"1778771486678.m4a";"da6e32a7-5408-43f6-9ac9-f0b4321bc430";"uuid:da6e32a7-5408-43f6-9ac9-f0b4321bc430"
"M3";"Femenino";"Mam Occidental";"M_006";"1778771509072.m4a";"0f4c9be7-e6db-4223-a2a0-c0a5f3872ed8";"uuid:0f4c9be7-e6db-4223-a2a0-c0a5f3872ed8"
"M3";"Femenino";"Mam Occidental";"M_007";"1778771537202.m4a";"4c3c3deb-cd5f-48b8-ab4b-e60dbba7163a";"uuid:4c3c3deb-cd5f-48b8-ab4b-e60dbba7163a"
"M3";"Femenino";"Mam Occidental";"M_008";"1778771594478.m4a";"41f47db2-604f-4b99-b76e-4d5cf56498bc";"uuid:41f47db2-604f-4b99-b76e-4d5cf56498bc"
"M3";"Femenino";"Mam Occidental";"M_009";"1778771648300.m4a";"c2c0e522-d7f2-4270-bd8b-178baa711560";"uuid:c2c0e522-d7f2-4270-bd8b-178baa711560"
"M3";"Femenino";"Mam Occidental";"M_010";"1778771673049.m4a";"79ac5280-f037-4a5c-be57-f738ed1ac851";"uuid:79ac5280-f037-4a5c-be57-f738ed1ac851"
"M3";"Femenino";"Mam Occidental";"M_011";"1778771731516.m4a";"d2e6a2e8-b5cc-4ff7-b300-31ee50573df4";"uuid:d2e6a2e8-b5cc-4ff7-b300-31ee50573df4"
"M3";"Femenino";"Mam Occidental";"M_012";"1778771811575.m4a";"e9a10256-56e6-4ab9-bf31-7a5f69070ae3";"uuid:e9a10256-56e6-4ab9-bf31-7a5f69070ae3"
"M3";"Femenino";"Mam Occidental";"M_013";"1778771869344.m4a";"d955ad9f-48d8-4cf2-be37-08ded41fb772";"uuid:d955ad9f-48d8-4cf2-be37-08ded41fb772"
"M3";"Femenino";"Mam Occidental";"M_014";"1778771897654.m4a";"7a919cc5-bed4-4a3c-8aea-fb740cb0e669";"uuid:7a919cc5-bed4-4a3c-8aea-fb740cb0e669"
"M3";"Femenino";"Mam Occidental";"M_015";"1778771931727.m4a";"58627e78-aa5a-4cfc-bccd-b377facd8cb3";"uuid:58627e78-aa5a-4cfc-bccd-b377facd8cb3"
"M3";"Femenino";"Mam Occidental";"M_016";"1778772041983.m4a";"96bd5ba7-5c4a-44a1-91fb-783d42be3b38";"uuid:96bd5ba7-5c4a-44a1-91fb-783d42be3b38"
"M3";"Femenino";"Mam Occidental";"M_017";"1778772083916.m4a";"de1d5094-e479-4218-9772-fd1ef0f95cc1";"uuid:de1d5094-e479-4218-9772-fd1ef0f95cc1"
"M3";"Femenino";"Mam Occidental";"M_018";"1778772112530.m4a";"421cfcce-2550-4669-8d54-e6d48bf15c2d";"uuid:421cfcce-2550-4669-8d54-e6d48bf15c2d"
"M3";"Femenino";"Mam Occidental";"M_019";"1778772142824.m4a";"a43ae8f3-bdb9-4d92-b9aa-07609ad681c5";"uuid:a43ae8f3-bdb9-4d92-b9aa-07609ad681c5"
"M3";"Femenino";"Mam Occidental";"M_020";"1778772173336.m4a";"e46952fc-d146-4ff6-b0e9-469cd6dda42b";"uuid:e46952fc-d146-4ff6-b0e9-469cd6dda42b"
"M3";"Femenino";"Mam Occidental";"M_021";"1778772197074.m4a";"7f780df8-14fe-4ee2-a8ba-765553c4f7ec";"uuid:7f780df8-14fe-4ee2-a8ba-765553c4f7ec"
"M3";"Femenino";"Mam Occidental";"M_022";"1778772225342.m4a";"97ac5ad6-743f-4fdd-863f-2bb49844ebab";"uuid:97ac5ad6-743f-4fdd-863f-2bb49844ebab"
"M3";"Femenino";"Mam Occidental";"M_023";"1778772251879.m4a";"de09d7a9-f840-4713-ba79-9bc4fe1b1edc";"uuid:de09d7a9-f840-4713-ba79-9bc4fe1b1edc"
"M3";"Femenino";"Mam Occidental";"M_024";"1778772276402.m4a";"082d1da2-d3b5-44f0-9e38-00483a011bb9";"uuid:082d1da2-d3b5-44f0-9e38-00483a011bb9"
"M3";"Femenino";"Mam Occidental";"M_025";"1778772302423.m4a";"216d9d6e-497e-412f-95eb-c8ac03d6ed5d";"uuid:216d9d6e-497e-412f-95eb-c8ac03d6ed5d"
"M3";"Femenino";"Mam Occidental";"M_026";"1778772333019.m4a";"b831f218-86f2-4eb7-912e-d6d1d5beb38a";"uuid:b831f218-86f2-4eb7-912e-d6d1d5beb38a"
"M3";"Femenino";"Mam Occidental";"M_027";"1778772356213.m4a";"c475a2c5-db81-483c-ab83-879b0fb0aabb";"uuid:650252dc-cb5b-4f0e-afd8-76bcd45f1275"
"M3";"Femenino";"Mam Occidental";"M_028";"1778772386343.m4a";"48c66282-c3aa-4b1f-acd5-56fe071fd11c";"uuid:48c66282-c3aa-4b1f-acd5-56fe071fd11c"
"M3";"Femenino";"Mam Occidental";"M_029";"1778772407536.m4a";"296a22ac-fe1e-4db3-b09c-6c3af9995710";"uuid:296a22ac-fe1e-4db3-b09c-6c3af9995710"
"M3";"Femenino";"Mam Occidental";"M_030";"1778772429448.m4a";"e7ce42fb-ea13-4c82-8065-6d25c836ff8d";"uuid:e7ce42fb-ea13-4c82-8065-6d25c836ff8d"
"M3";"Femenino";"Mam Occidental";"M_031";"1778772455018.m4a";"2684dadf-a48b-45f2-80c7-e1685ec7a469";"uuid:2684dadf-a48b-45f2-80c7-e1685ec7a469"
"M3";"Femenino";"Mam Occidental";"M_032";"1778772484943.m4a";"c19cb0ab-5fab-4d10-821c-1b9f275248f1";"uuid:c19cb0ab-5fab-4d10-821c-1b9f275248f1"
"M3";"Femenino";"Mam Occidental";"M_033";"1778772520195.m4a";"ffb0772f-5a89-4f2e-a08a-7479957d78d3";"uuid:ffb0772f-5a89-4f2e-a08a-7479957d78d3"
"M3";"Femenino";"Mam Occidental";"M_034";"1778772558879.m4a";"46d7d6e8-0890-4289-bd9b-6a0294f0a35f";"uuid:46d7d6e8-0890-4289-bd9b-6a0294f0a35f"
"M3";"Femenino";"Mam Occidental";"M_035";"1778772585882.m4a";"9cc0e49f-0f23-47a4-9a1d-e430e04cbb0a";"uuid:9cc0e49f-0f23-47a4-9a1d-e430e04cbb0a"
"M3";"Femenino";"Mam Occidental";"M_036";"1778772610794.m4a";"51b3161d-4e74-49f0-8452-66553ce471ad";"uuid:51b3161d-4e74-49f0-8452-66553ce471ad"
"M3";"Femenino";"Mam Occidental";"M_037";"1778772642778.m4a";"4b345f1e-9382-4db1-b242-5a4179a41fe7";"uuid:4b345f1e-9382-4db1-b242-5a4179a41fe7"
"M3";"Femenino";"Mam Occidental";"M_038";"1778772678718.m4a";"3e8272bc-3a3a-495a-af28-68d3cabe2efd";"uuid:3e8272bc-3a3a-495a-af28-68d3cabe2efd"
"M3";"Femenino";"Mam Occidental";"M_039";"1778772716296.m4a";"f97997ad-81b6-4aa9-abbd-ddbcff8e5faa";"uuid:f97997ad-81b6-4aa9-abbd-ddbcff8e5faa"
"M3";"Femenino";"Mam Occidental";"M_040";"1778772762865.m4a";"879805c2-5ae3-4af0-881a-cf9abd3bf97a";"uuid:879805c2-5ae3-4af0-881a-cf9abd3bf97a"
"M3";"Femenino";"Mam Occidental";"M_041";"1778772793068.m4a";"49725526-d719-4609-b0f7-af40dc82d891";"uuid:49725526-d719-4609-b0f7-af40dc82d891"
"M3";"Femenino";"Mam Occidental";"M_042";"1778772825020.m4a";"e644ea03-7ab3-4eaa-968b-50cdb7da9ff3";"uuid:e644ea03-7ab3-4eaa-968b-50cdb7da9ff3"
