file_name,transcription,speaker_id,dialect_variant,gender
1778772484943.wav,wajxaq b'elaj laj junk'al,M3,Mam_Occidental,F
1778772520195.wav,nchi'j q'ij neq'chil toj tnam,M3,Mam_Occidental,F
1778772558879.wav,xjan q'ij nim q'ij te b'a'n,M3,Mam_Occidental,F
1778772585882.wav,b'etil toj nim b'e rinil kub',M3,Mam_Occidental,F
1778772610794.wav,tz'ib'il tu'n u'jil tu'n b'a'n,M3,Mam_Occidental,F
1778772642778.wav,k'lol txolb'il nimil tu'n,M3,Mam_Occidental,F
1778772678718.wav,niky'il yol tu'n ichin nim,M3,Mam_Occidental,F
1778772716296.wav,tze'l b'ixil b'itzi toj q'ij,M3,Mam_Occidental,F
1778772762865.wav,ky'aq xjal k'ixb'len yib'aj,M3,Mam_Occidental,F
1778772793068.wav,k'oj b'a'n toj twitz ichin,M3,Mam_Occidental,F
1778772825020.wav,t'uj b'a'n tu'n xob'sil ma',M3,Mam_Occidental,F
1778772860728.wav,ky'il ku'j k'asil b'a'n,M3,Mam_Occidental,F
1778772888246.wav,q'ij mam nim q'ij te ky'iwl,M3,Mam_Occidental,F
1778772911593.wav,nimb'il mam toj tnam b'a'n yol,M3,Mam_Occidental,F
1778772945333.wav,txin b'ixil q'ij toj kyaq'al,M3,Mam_Occidental,F
1778772977986.wav,q'aq' b'a'n toj ky'iwl te te',M3,Mam_Occidental,F
1778773002703.wav,tz'ib'il mam yol tx'amsil tu'n,M3,Mam_Occidental,F
1778773025542.wav,chjonte tu'n yol mam b'a'n tib',M3,Mam_Occidental,F
1778773050838.wav,b'a'nkyulena toj yol mam chinej,M3,Mam_Occidental,F
1778773350832.wav,b'a'nkyulena b'a'ntz q'ij,M4,Mam_Occidental,F
1778773379496.wav,chin q'olb'ene ja'tzunte,M4,Mam_Occidental,F
1778773396629.wav,b'a'n chjonte toj twitz,M4,Mam_Occidental,F
1778773428454.wav,qa'lte ti' b'a'n te tib'a,M4,Mam_Occidental,F
1778773446623.wav,ta'lte qina,M4,Mam_Occidental,F
1778773466715.wav,chinej toj b'e b'a'n q'ij teya,M4,Mam_Occidental,F
1778773523559.wav,chman nim ttnam ichin b'a'n,M4,Mam_Occidental,F
1778773573580.wav,txin kyq'ij toj ja b'ixil tu'n,M4,Mam_Occidental,F
1778773613115.wav,nex txin wa'l toj ja tchman,M4,Mam_Occidental,F
1778773664201.wav,xjal nimq'ij toj tnam ky'iwl,M4,Mam_Occidental,F
1778773704892.wav,nim twitz nim tb'e toj tz'aq,M4,Mam_Occidental,F
1778773732560.wav,q'ij q'aq' toj kyaq'al te' tx'otx',M4,Mam_Occidental,F
1778773760744.wav,ja nim tze'l toj ttxol xjaw,M4,Mam_Occidental,F
1778773792151.wav,q'aq' q'an kub' toj q'ij,M4,Mam_Occidental,F
1778773833146.wav,ẍe te' nim ja txolil tu'n,M4,Mam_Occidental,F
1778773876177.wav,ch'ix b'ey toj txaq te',M4,Mam_Occidental,F
1778773906550.wav,o'x yol toj xjaw nim jil,M4,Mam_Occidental,F
1778773948022.wav,wa'l toj ja atz'am yol tb'aq,M4,Mam_Occidental,F
1778773979317.wav,ko'ya nim b'a'n toj wa',M4,Mam_Occidental,F
1778774012894.wav,tz'ib'il yol q'ij toj u'j,M4,Mam_Occidental,F
1778774038852.wav,k'a'chil wa' jun ichin nim,M4,Mam_Occidental,F
1778774078362.wav,b'ixi tze'l wa'l rinil toj q'ij,M4,Mam_Occidental,F
1778774102161.wav,tnam nim pujb'il yol mam tz'ib'il,M4,Mam_Occidental,F
1778774122311.wav,xnaq'tzb'il toj tnam b'a'n tu'n,M4,Mam_Occidental,F
1778774144255.wav,kawb'il maya yol nim b'a'n,M4,Mam_Occidental,F
1778774173013.wav,k'ayil toj k'ayb'il xjal b'a'n,M4,Mam_Occidental,F
1778774200307.wav,nejnel te tnam nimb'il tu'n,M4,Mam_Occidental,F
1778774226073.wav,xnaq'tzen tu'n xjal xnaq'tzan,M4,Mam_Occidental,F
1778774246017.wav,txolb'il b'e toj nim tnam,M4,Mam_Occidental,F
1778774266569.wav,jun q'ij kab'e q'ij oxe q'ij,M4,Mam_Occidental,F
1778774290366.wav,jwe' xjaw qaq q'ij wuq b'e,M4,Mam_Occidental,F
1778774313763.wav,wajxaq b'elaj laj junk'al,M4,Mam_Occidental,F
1778774351878.wav,nchi'j q'ij neq'chil toj tnam,M4,Mam_Occidental,F
1778774374497.wav,xjan q'ij nim q'ij te b'a'n,M4,Mam_Occidental,F
1778774402703.wav,b'etil toj nim b'e rinil kub',M4,Mam_Occidental,F
1778774425629.wav,tz'ib'il tu'n u'jil tu'n b'a'n,M4,Mam_Occidental,F
1778774452783.wav,k'lol txolb'il nimil tu'n,M4,Mam_Occidental,F
1778774500758.wav,niky'il yol tu'n ichin nim,M4,Mam_Occidental,F
1778774540791.wav,tze'l b'ixil b'itzi toj q'ij,M4,Mam_Occidental,F
1778774622497.wav,ky'aq xjal k'ixb'len yib'aj,M4,Mam_Occidental,F
1778774648112.wav,k'oj b'a'n toj twitz ichin,M4,Mam_Occidental,F
1778774705155.wav,t'uj b'a'n tu'n xob'sil ma',M4,Mam_Occidental,F
1778774734125.wav,ky'il ku'j k'asil b'a'n,M4,Mam_Occidental,F
1778774768871.wav,q'ij mam nim q'ij te ky'iwl,M4,Mam_Occidental,F
1778774795422.wav,nimb'il mam toj tnam b'a'n yol,M4,Mam_Occidental,F
1778774840423.wav,txin b'ixil q'ij toj kyaq'al,M4,Mam_Occidental,F
1778774883885.wav,q'aq' b'a'n toj ky'iwl te te',M4,Mam_Occidental,F
1778774911013.wav,tz'ib'il mam yol tx'amsil tu'n,M4,Mam_Occidental,F
1778774934325.wav,chjonte tu'n yol mam b'a'n tib',M4,Mam_Occidental,F
1778774955036.wav,b'a'nkyulena toj yol mam chinej,M4,Mam_Occidental,F
1778775254726.wav,b'a'nkyulena b'a'ntz q'ij,M5,Mam_Occidental,M
1778775318929.wav,chin q'olb'ene ja'tzunte,M5,Mam_Occidental,M
1778775338607.wav,b'a'n chjonte toj twitz,M5,Mam_Occidental,M
1778775382185.wav,qa'lte ti' b'a'n te tib'a,M5,Mam_Occidental,M
1778775405487.wav,ta'lte qina,M5,Mam_Occidental,M
1778775433173.wav,chinej toj b'e b'a'n q'ij teya,M5,Mam_Occidental,M
1778775454632.wav,chman nim ttnam ichin b'a'n,M5,Mam_Occidental,M
1778775478675.wav,txin kyq'ij toj ja b'ixil tu'n,M5,Mam_Occidental,M
1778775502291.wav,nex txin wa'l toj ja tchman,M5,Mam_Occidental,M
1778775528688.wav,xjal nimq'ij toj tnam ky'iwl,M5,Mam_Occidental,M
1778775572981.wav,nim twitz nim tb'e toj tz'aq,M5,Mam_Occidental,M
1778775594129.wav,q'ij q'aq' toj kyaq'al te' tx'otx',M5,Mam_Occidental,M
1778775639054.wav,ja nim tze'l toj ttxol xjaw,M5,Mam_Occidental,M
1778775658155.wav,q'aq' q'an kub' toj q'ij,M5,Mam_Occidental,M
1778775690181.wav,ẍe te' nim ja txolil tu'n,M5,Mam_Occidental,M
1778775717231.wav,ch'ix b'ey toj txaq te',M5,Mam_Occidental,M
1778775744277.wav,o'x yol toj xjaw nim jil,M5,Mam_Occidental,M
1778775768959.wav,wa'l toj ja atz'am yol tb'aq,M5,Mam_Occidental,M
1778775791494.wav,ko'ya nim b'a'n toj wa',M5,Mam_Occidental,M
1778775813462.wav,tz'ib'il yol q'ij toj u'j,M5,Mam_Occidental,M
1778775851066.wav,k'a'chil wa' jun ichin nim,M5,Mam_Occidental,M
1778775875040.wav,b'ixi tze'l wa'l rinil toj q'ij,M5,Mam_Occidental,M
1778775899189.wav,tnam nim pujb'il yol mam tz'ib'il,M5,Mam_Occidental,M
1778775921738.wav,xnaq'tzb'il toj tnam b'a'n tu'n,M5,Mam_Occidental,M
1778775942285.wav,kawb'il maya yol nim b'a'n,M5,Mam_Occidental,M
1778775961656.wav,k'ayil toj k'ayb'il xjal b'a'n,M5,Mam_Occidental,M
1778775983359.wav,nejnel te tnam nimb'il tu'n,M5,Mam_Occidental,M
1778776006296.wav,xnaq'tzen tu'n xjal xnaq'tzan,M5,Mam_Occidental,M
1778776025495.wav,txolb'il b'e toj nim tnam,M5,Mam_Occidental,M
1778776056243.wav,jun q'ij kab'e q'ij oxe q'ij,M5,Mam_Occidental,M
1778776075338.wav,jwe' xjaw qaq q'ij wuq b'e,M5,Mam_Occidental,M
1778776095070.wav,wajxaq b'elaj laj junk'al,M5,Mam_Occidental,M
1778776120126.wav,nchi'j q'ij neq'chil toj tnam,M5,Mam_Occidental,M
1778776141813.wav,xjan q'ij nim q'ij te b'a'n,M5,Mam_Occidental,M
1778776166006.wav,b'etil toj nim b'e rinil kub',M5,Mam_Occidental,M
1778776187568.wav,tz'ib'il tu'n u'jil tu'n b'a'n,M5,Mam_Occidental,M
1778776212618.wav,k'lol txolb'il nimil tu'n,M5,Mam_Occidental,M
1778776242505.wav,niky'il yol tu'n ichin nim,M5,Mam_Occidental,M
1778776263808.wav,tze'l b'ixil b'itzi toj q'ij,M5,Mam_Occidental,M
1778776368867.wav,ky'aq xjal k'ixb'len yib'aj,M5,Mam_Occidental,M
1778776391793.wav,k'oj b'a'n toj twitz ichin,M5,Mam_Occidental,M
1778776417713.wav,t'uj b'a'n tu'n xob'sil ma',M5,Mam_Occidental,M
1778776441377.wav,ky'il ku'j k'asil b'a'n,M5,Mam_Occidental,M
1778776464807.wav,q'ij mam nim q'ij te ky'iwl,M5,Mam_Occidental,M
1778776485055.wav,nimb'il mam toj tnam b'a'n yol,M5,Mam_Occidental,M
1778776507551.wav,txin b'ixil q'ij toj kyaq'al,M5,Mam_Occidental,M
1778776532131.wav,q'aq' b'a'n toj ky'iwl te te',M5,Mam_Occidental,M
1778776555380.wav,tz'ib'il mam yol tx'amsil tu'n,M5,Mam_Occidental,M
1778776577650.wav,chjonte tu'n yol mam b'a'n tib',M5,Mam_Occidental,M
1778776597797.wav,b'a'nkyulena toj yol mam chinej,M5,Mam_Occidental,M
1778776768165.wav,b'a'nkyulena b'a'ntz q'ij,M6,Mam_Occidental,F
1778776795027.wav,chin q'olb'ene ja'tzunte,M6,Mam_Occidental,F
1778776853532.wav,b'a'n chjonte toj twitz,M6,Mam_Occidental,F
1778776875096.wav,qa'lte ti' b'a'n te tib'a,M6,Mam_Occidental,F
1778776908101.wav,chinej toj b'e b'a'n q'ij teya,M6,Mam_Occidental,F
1778776928557.wav,ta'lte qina,M6,Mam_Occidental,F
1778776956356.wav,chman nim ttnam ichin b'a'n,M6,Mam_Occidental,F
1778776977575.wav,txin kyq'ij toj ja b'ixil tu'n,M6,Mam_Occidental,F
1778776997041.wav,nex txin wa'l toj ja tchman,M6,Mam_Occidental,F
1778777024524.wav,xjal nimq'ij toj tnam ky'iwl,M6,Mam_Occidental,F
1778777047475.wav,nim twitz nim tb'e toj tz'aq,M6,Mam_Occidental,F
1778777071464.wav,q'ij q'aq' toj kyaq'al te' tx'otx',M6,Mam_Occidental,F
1778777118111.wav,ja nim tze'l toj ttxol xjaw,M6,Mam_Occidental,F
1778777153422.wav,q'aq' q'an kub' toj q'ij,M6,Mam_Occidental,F
1778777176237.wav,ẍe te' nim ja txolil tu'n,M6,Mam_Occidental,F
1778777198042.wav,ch'ix b'ey toj txaq te',M6,Mam_Occidental,F
1778777230526.wav,o'x yol toj xjaw nim jil,M6,Mam_Occidental,F
1778777256124.wav,wa'l toj ja atz'am yol tb'aq,M6,Mam_Occidental,F
1778777283696.wav,ko'ya nim b'a'n toj wa',M6,Mam_Occidental,F
1778777304204.wav,tz'ib'il yol q'ij toj u'j,M6,Mam_Occidental,F
1778777340520.wav,k'a'chil wa' jun ichin nim,M6,Mam_Occidental,F
1778777366229.wav,b'ixi tze'l wa'l rinil toj q'ij,M6,Mam_Occidental,F
1778777387421.wav,tnam nim pujb'il yol mam tz'ib'il,M6,Mam_Occidental,F
1778777413182.wav,xnaq'tzb'il toj tnam b'a'n tu'n,M6,Mam_Occidental,F
1778777439132.wav,kawb'il maya yol nim b'a'n,M6,Mam_Occidental,F
1778777463003.wav,k'ayil toj k'ayb'il xjal b'a'n,M6,Mam_Occidental,F
1778777484079.wav,nejnel te tnam nimb'il tu'n,M6,Mam_Occidental,F
1778777519929.wav,xnaq'tzen tu'n xjal xnaq'tzan,M6,Mam_Occidental,F
1778777542731.wav,txolb'il b'e toj nim tnam,M6,Mam_Occidental,F
1778777564204.wav,jun q'ij kab'e q'ij oxe q'ij,M6,Mam_Occidental,F
1778777585903.wav,jwe' xjaw qaq q'ij wuq b'e,M6,Mam_Occidental,F
1778777606321.wav,wajxaq b'elaj laj junk'al,M6,Mam_Occidental,F
1778777634825.wav,nchi'j q'ij neq'chil toj tnam,M6,Mam_Occidental,F
1778777655114.wav,xjan q'ij nim q'ij te b'a'n,M6,Mam_Occidental,F
1778777679026.wav,b'etil toj nim b'e rinil kub',M6,Mam_Occidental,F
1778777704153.wav,tz'ib'il tu'n u'jil tu'n b'a'n,M6,Mam_Occidental,F
1778777740020.wav,k'lol txolb'il nimil tu'n,M6,Mam_Occidental,F
1778777777302.wav,niky'il yol tu'n ichin nim,M6,Mam_Occidental,F
1778777798831.wav,tze'l b'ixil b'itzi toj q'ij,M6,Mam_Occidental,F
1778777840857.wav,ky'aq xjal k'ixb'len yib'aj,M6,Mam_Occidental,F
1778777866257.wav,k'oj b'a'n toj twitz ichin,M6,Mam_Occidental,F
1778777889206.wav,t'uj b'a'n tu'n xob'sil ma',M6,Mam_Occidental,F
1778777910981.wav,ky'il ku'j k'asil b'a'n,M6,Mam_Occidental,F
1778777934582.wav,q'ij mam nim q'ij te ky'iwl,M6,Mam_Occidental,F
1778777957820.wav,nimb'il mam toj tnam b'a'n yol,M6,Mam_Occidental,F
1778777985768.wav,txin b'ixil q'ij toj kyaq'al,M6,Mam_Occidental,F
1778778012462.wav,q'aq' b'a'n toj ky'iwl te te',M6,Mam_Occidental,F
1778778046398.wav,tz'ib'il mam yol tx'amsil tu'n,M6,Mam_Occidental,F
1778778068249.wav,chjonte tu'n yol mam b'a'n tib',M6,Mam_Occidental,F
1778778086970.wav,b'a'nkyulena toj yol mam chinej,M6,Mam_Occidental,F
1778778408742.wav,b'a'nkyulena b'a'ntz q'ij,M7,Mam_Occidental,M
1778778431971.wav,chin q'olb'ene ja'tzunte,M7,Mam_Occidental,M
1778778452757.wav,b'a'n chjonte toj twitz,M7,Mam_Occidental,M
1778778475799.wav,qa'lte ti' b'a'n te tib'a,M7,Mam_Occidental,M
1778778494245.wav,ta'lte qina,M7,Mam_Occidental,M
1778778514580.wav,chinej toj b'e b'a'n q'ij teya,M7,Mam_Occidental,M
1778778534404.wav,chman nim ttnam ichin b'a'n,M7,Mam_Occidental,M
1778778552608.wav,txin kyq'ij toj ja b'ixil tu'n,M7,Mam_Occidental,M
1778778574048.wav,nex txin wa'l toj ja tchman,M7,Mam_Occidental,M
1778778598097.wav,xjal nimq'ij toj tnam ky'iwl,M7,Mam_Occidental,M
1778778623190.wav,nim twitz nim tb'e toj tz'aq,M7,Mam_Occidental,M
1778778650702.wav,q'ij q'aq' toj kyaq'al te' tx'otx',M7,Mam_Occidental,M
1778778674233.wav,ja nim tze'l toj ttxol xjaw,M7,Mam_Occidental,M
1778778697254.wav,q'aq' q'an kub' toj q'ij,M7,Mam_Occidental,M
1778778725393.wav,ẍe te' nim ja txolil tu'n,M7,Mam_Occidental,M
1778778750816.wav,ch'ix b'ey toj txaq te',M7,Mam_Occidental,M
1778778772311.wav,o'x yol toj xjaw nim jil,M7,Mam_Occidental,M
1778778808971.wav,wa'l toj ja atz'am yol tb'aq,M7,Mam_Occidental,M
1778778830672.wav,ko'ya nim b'a'n toj wa',M7,Mam_Occidental,M
1778778856584.wav,tz'ib'il yol q'ij toj u'j,M7,Mam_Occidental,M
1778778877568.wav,k'a'chil wa' jun ichin nim,M7,Mam_Occidental,M
1778778899429.wav,b'ixi tze'l wa'l rinil toj q'ij,M7,Mam_Occidental,M
1778778919671.wav,tnam nim pujb'il yol mam tz'ib'il,M7,Mam_Occidental,M
1778778938070.wav,xnaq'tzb'il toj tnam b'a'n tu'n,M7,Mam_Occidental,M
1778778957451.wav,kawb'il maya yol nim b'a'n,M7,Mam_Occidental,M
1778779084046.wav,k'ayil toj k'ayb'il xjal b'a'n,M7,Mam_Occidental,M
1778779103885.wav,nejnel te tnam nimb'il tu'n,M7,Mam_Occidental,M
1778779123637.wav,xnaq'tzen tu'n xjal xnaq'tzan,M7,Mam_Occidental,M
1778779142258.wav,txolb'il b'e toj nim tnam,M7,Mam_Occidental,M
1778779161149.wav,jun q'ij kab'e q'ij oxe q'ij,M7,Mam_Occidental,M
